company,job,required_experience,location,key_skills,description
east india securities ltd.,Python Engineer,2 - 5 yrs,Kolkata,"python,  hadoop ,  machine learning","Job Description
job_description
2  years of experience working with python
Strong analytical skills
Ability to churn scripting solutions with a quick turnaround time
Inclination to learn new technologies
Preferably background knowledge of Data Science / Machine Learning / Hadoop.
Job Function: IT Software : Software Products & Services
Industry: Petroleum/Oil and Gas/Power,  Construction/Cement/Metal/Steel/Iron
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
DREAMAJAX TECHNOLOGIES,PYTHON DEVELOPER,4 - 7 yrs,Bengaluru / Bangalore,"python,  django ,  api ,  sql ,  nosql","Job Description
PYTHON DEVELOPER B.E / B.Tech / MCA / M.Sc., or equivalent with 4  years of Strong Experience as a Python developer
Strong hands on experience on Core Python, Django and Flask frameworks.
Strong experience using Web Services and API's in python.
Should work with Micro services architecture, multi-threaded application development
Experience with SQL and NoSQL databases
Strong understanding of software development life-cycle and best practices.
Must be able to gather requirements, design, code and test independently as well as work jointly with the team
Job Function: IT Software : Software Products & Services
Industry: Telecom,  IT-Hardware/Networking
Specialization: Software Engineer
Qualification: MCA/ PGDCA BE/ B.Tech (Engineering)
Employment Type: Full Time
"
INFINITY GROUP,PYTHON Developer,2 - 5 yrs,Noida/Greater Noida,"python,  css ,  django ,  html ,  bootstrap","Job Description
Description
Position: PYTHON Developer
No. of Requirement: 02
- One for Fresher (Stipend)
- One for Experience
Education: B.Tech, M.Tech, BCA, MCA, Bsc (Computer)
Experience:
- 2 Year Experience for 1 candidate
- Fresher for 1 candidate
Industry Type: IT
Functional Area: App Development
Job Location: Sector 15, Noida
No. of working days:6 days
Job Description:
- Knowledge of PYTHON With MySqli
- Knowledge of HTML, CSS, JS, Bootstrap
- Knowledge of Django Framework
- Good Communicational Skills
Shift Timings: 10:00 am to 06:30 pm
Salary Offerings:
- For Experience= 20K-30K (Negotiable)
- For Fresher=Paid Internship 7k-10k
Gender Preference: Male or Female both are welcome
Job Function: IT Software : Software Products & Services
Industry: Consulting Services
Specialization: Software Engineer
Qualification: MCA/ PGDCA BCA (Computer Application)
Employment Type: Full Time
"
InnOvator Web Solutions Pvt.Ltd.,Python Developer,5 - 8 yrs,Mumbai,"rest , python,  django ,  web developer ,  mysql ,  api","Job Description
Job Category: Development
Job Type: Full Time
Job Location: Malad (W)
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.
Good To have a knowledge of Django web framework
Knowledge of Python Django Framework, understanding of server-side scripting languages
Strong experience using Web Services and APIs in python.
Hands on Python / Django experience, esp. with MySQL & Django Rest framework
Minimum 5  years experience in designing and developing applications using Python.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
pearl global solutions,Python Developer,4 - 7 yrs,Cochin/ Kochi/ Ernakulam,"python,  database ,  django ,  team player ,  sql","Job Description
Python Developer  Django Job Type : Full time, Employee
Experience : 4  years of experience in Python.
Education : B.Tech/MCA
Qualities sought-out in the desired candidate: Strong knowledge of Django frameworks.
Experience with desktop and online versions.
Good Expertise in database (SQL).
Excellent written and verbal communication skills in English.
Team Player.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
AxisTechnolabs,Python - Odoo,0 - 1 yrs,Ahmedabad,"python,  django ,  it skills ,  html5 ,  api ,  jquery","Job Description
Responsibilities : We are looking for Freshers who want to grow thier career with Axis Technolabs
Suffering from finding dream jobs
IT skills Requires for Jobs
We can help you to make your future bright in IT through industry based training in internship.
We also provide internship   100 PERCENT  job placement.
Axis Technolabs providing 3 months Internship program in Python - Odoo technology.
We build your skills to get your dream job.
Intern's day-to-day responsibilities :
- Get knowledge of Core Python and programming concepts
- Odoo modules learning process
- Learn about front-end development with HTML5, CSS3 and JQuery, Angular
- Backend development learning process with PostgresSQL Databases
- Get Knowledge of working with API
- Work on ongoing live projects and sharpen your skills
Recently Passed BE, BCA, BSC MSC-IT, ME, B.Tech, M.Tech - Students can also apply for internship.
Send your CV / resume at hr@axistechnolabs.com
Specify subject : Internship
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: MCA/ PGDCA BCA (Computer Application)
Employment Type: Full Time
"
Ivan Infotech Pvt. Ltd.,Python Developer,2 - 5 yrs,Kolkata,"rest , python,  security ,  debugging","Job Description
We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Responsibilities Write effective, scalable code
Develop back-end components to improve responsiveness and overall performance
Integrate user-facing elements into applications
Test and debug programs
Improve functionality of existing systems
Implement security and data protection solutions
Assess and prioritize feature requests
Coordinate with internal teams to understand user requirements and provide technical solutions.
Requirements Should have minimum 2 years relevant experience.
Experience in writing REST APIs in Python/Flask.
Database design and management.
Integration and Continuous Deployment
Good handle on Object-Oriented programming.
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Sourcedesk Global Private Limited,Python Developer,3 - 15 yrs,Kolkata,"html5 ,  storage , python,  javascript ,  django ,  infrastructure","Job Description
Sourcedesk Global is looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web-applications that perfectly meet the needs of the client.
We are offering superb career growth opportunities, great compensation and benefits.
Python Developer Responsibilities:
Coordinating with development teams to determine application requirements.
Write reusable, testable, and efficient code using Python programming language.
Design and execute low-latency, high-availability, and high-performing applications.
Good understanding of SDLC and agile methodologies.
Integrate back-end python-based modules with user-interface elements developed by front-end developers.
Integrating user-facing elements using server-side logic.
Integrating data storage solutions.
Designing, building, testing, and deploying services and APIs that will be integral to our products.
Reprogramming existing databases to improve functionality.
Developing digital tools to monitor online traffic.
Skills Required:
Previous working experience as a Python Developer for 3  years.
BS/MS degree in Computer Science, Engineering or a related subject.
Hands on experience with Django, Flask or other Python frameworks
Good understanding of server-side templating languages such as Jinja 2, Mako, etc
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Familiarity with some ORM (Object Relational Mapper) libraries.
Ability to integrate multiple data sources into a single system.
Experience with AWS or other cloud infrastructure.
Ability to collaborate on projects and work independently when required.
Job Function: IT Software : Software Products & Services
Industry: Others - other Industry
Specialization: Software Engineer
Qualification: ME/ M.Tech./ MS (Engg/ Sciences) Any Graduate
Employment Type: Full Time
"
glan management consultancy pvt. ltd.,Python Developer,5 - 8 yrs,Noida/Greater Noida,"python,  rdbms ,  mysql ,  cloud computing ,  docker ,  sql","Job Description
Job Description:
We are hiring a Python Developer with minimum 4 to 5 years of experience in building highly scalable solutions based on a micro services architecture, you will be working with a highly skilled cross-functional team to enhance the core-banking platform.
5  years of experience in software development. (Mandatory)
Experience with cloud computing and container-based distributed systems (Docker).
Experience working with relational databases (preferably MySQL) and strong proficiency with SQL.
Understanding of higher-level RDBMS concepts (locking and transaction model, isolation levels, deadlocks, etc.).
Key Skill:
Python developer. Python,
Job Function: IT Software : Software Products & Services
Industry: Consulting Services
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
CONNECTING 2 WORK,Python Developer,5 - 10 yrs,Thiruvananthapuram,"python,  storage ,  django ,  testing tools ,  debugging","Job Description
Job Description We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.
To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web applications that perfectly meet the needs of the client.
Responsibilities: Coordinating with development teams to determine application requirements.
Writing scalable code using Python programming language.
Testing and debugging applications.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Assessing and prioritizing client feature requests.
Integrating data storage solutions.
Coordinating with front-end developers.
Reprogramming existing databases to improve functionality.
Developing digital tools to monitor online traffic.
Requirements: Bachelors degree in computer science, computer engineering, or related field.
1.5- 3 years of experience as a Python developer.
Expert knowledge of Python and related frameworks including Django and Flask.
A deep understanding and multi-process architecture and the threading limitations of Python.
Familiarity with server-side templating languages including Jinja 2 and Mako.
Ability to integrate multiple data sources into a single system.
Familiarity with testing tools.
Ability to collaborate on projects and work independently when required.
Job Function: IT Software : Software Products & Services
Industry: Consulting Services
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
Doodleblue Innovations Pvt Ltd,Python Developer,0 - 3 yrs,Chennai,"python,  database ,  django ,  git ,  html5 ,  debugging ,  javascript ,  jquery","Job Description
Python Developer Hands on experience in Python Development is a must
Experience in Django and flask framework
Good understanding of server-side templating languages like jinja
Understanding of front-end technologies, such as JavaScript, HTML5, and CSS3, jQuery
Proficient understanding of git Strong unit test and debugging skills
Create database schemas that represent and support business processes
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: Any Graduate
Employment Type: Full Time
"
AxisTechnolabs,Python Developer,0 - 1 yrs,Ahmedabad,"python,  css ,  user interaction ,  bootstrap ,  openerp ,  database ,  xml ,  oops ,  html","Job Description
Responsibilities : We are offering you Paid odoo - python internship for 3 months and after completion, you will get a job on your hand,100 PERCENT  Job Placement, We suggest to start your career with odoo ERP developer. Why choose odoo to grow your career with becoming an odoo developer?
Odoo ERP is emerging faster than any other propriety ERP owing to the fact that it is Open Source. Open-Source nature of Odoo platform is going to make the most impact in the developing market. The future of Odoo is exceptionally good with more than 2 million users in the world. Lively user interaction in development and usage is assured to boost the Odoo platform in the coming years.
Odoo uses Python programming language a powerful high-level object-oriented programming language, giving Odoo a better chance over other competitors.
Axis Technolabs also provides opportunities for those who are aspiring to build a career in odoo. For more information feel free contact us
Odoo Internship Includes:
Design and develop Odoo(OpenERP) apps(new module Implementation, customization)
Create Python and Odoo(OpenERP) framework of existing apps
Develop applications which make any kind of effect in peoples lives
Track record of implementing well designed mobile applications
Coordinate with senior developers to design and develop real time web application and ERP software
Required Skills and Qualification
Should be willing to learn Odoo & Open Source ERP System
Should have quick grasping power
Basic Understanding of Xmp, Database Python, Oops Concepts Self Motivated and a willingness to learn
Must have degree of B.E/B.Tech/MCA/BCA/ MSC-IT
Job Function: IT Software : Software Products & Services
Industry: IT-Hardware/Networking,  Telecom
Specialization: Software Engineer
Qualification: MCA/ PGDCA BCA (Computer Application)
Employment Type: Full Time
"
